time,-p1,-p10,-p11,-p12,-p13,-p14,-p15,-p16,-p17,-p18,-p19,-p2,-p20,-p3,-p4,-p5,-p6,-p7,-p8,-p9,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p99
270,862.38196665644,862.25069856971,861.4960328655,858.6208936117,849.76344996067,826.94692859569,776.89134996178,682.36855476914,527.89705064419,309.17667010947,41.666057529856,38.714074711705,35.548339479532,32.180284984986,28.624140542829,24.896763518011,21.017426124966,17.007560612004,12.890467081578,8.6909888973189,4.4351612370075,4.0052403630122,3.5710722669627,3.1331034066775,2.6917891356001,2.2475926461302,1.8009838910161,1.3524384858173,0.90243659550482,0.45146180831364,0
280,862.35053391339,862.17013909349,861.20594915274,857.7734531673,847.73503609432,822.9103059522,770.19846434587,673.2317943555,518.0027396307,301.58990706066,39.614196110743,36.744520610842,33.687144858754,30.45240283852,27.053004629396,23.503891692874,19.822054401754,16.026314737341,12.137077725502,8.1760557630115,4.1659704912238,3.7611887216966,3.3527147140917,2.9409371945348,2.5262524112481,2.109063240444,1.6897782739007,1.2688108907351,0.8465783159317,0.42350066822961,0
290,862.30585755377,862.06706113888,860.86485134718,856.8316770895,845.57777122899,818.76771931603,763.52930548845,664.34889052885,508.5838288605,294.51230006129,37.801761771871,35.008177467144,32.049101708888,28.933909967454,25.674001339824,22.282673665671,18.774966979184,15.167477764726,11.478147020603,7.7260256176049,3.9310208583342,3.5482259551958,3.1622091093311,2.773310080252,2.3818750010968,1.9882556205152,1.5928085292375,1.1958943734316,0.79787705698791,0.39912293490854,0
300,862.24518264956,861.93852605328,860.47027133037,855.79655190931,843.30022708676,814.53588950726,756.90028610803,655.71952016622,499.61136777952,287.89561488088,36.194153552368,33.471097413517,30.601526875224,27.593979347244,24.45871968453,21.207632132462,17.85408567949,14.412774901909,10.899538832366,7.3311607849684,3.7251524175756,3.3616638962208,2.9953528107578,2.6265172985239,2.2554609088406,1.8824919588227,1.5079228763634,1.132069532058,0.75525056185823,0.37778668227903,0
310,862.16567279849,861.78167563075,860.02020208591,854.66974438945,840.91113429541,810.23026069515,750.32519298853,647.34135129507,491.05776720683,281.69685796618,34.762208857998,32.10469246833,29.316917129622,26.406685508706,23.383278458514,20.25736126974,17.040867555492,13.746862533391,10.389387841323,6.9832903570656,3.5440377819977,3.1975711302051,2.8486218230647,2.4974525387183,2.1443305609279,1.7895272304601,1.4333173857179,1.0759787940981,0.71779157557772,0.35903762005641,0
320,862.06446113953,861.59376844603,859.51307647417,853.45348568227,838.41922973437,805.8650007692,743.81549543589,639.21049660409,482.89690318195,275.87769318783,33.48130941872,30.884850338392,28.172092152626,25.350191555224,22.427573328288,19.41384877647,16.319715319341,13.156838737658,9.9377198789336,6.6755479062728,3.3840424163696,3.0526459829052,2.7190568586863,2.3835074419291,2.0462340593153,1.7074764976773,1.3674775266545,1.0264824135625,0.6847384317373,0.34249436363728,0
330,861.93869737637,861.37220952846,858.947739211,852.15046352007,835.83313447606,801.45302884784,737.38062968674,631.3218862489,475.10416247187,270.40391698527,32.330638722267,29.791200501074,27.147483564786,24.406075041214,21.574652771307,18.661914136115,15.677488985947,12.631837941985,9.5361375989163,6.402154389424,3.2421090735778,2.9241114462951,2.6041690850212,2.2824884672914,1.9592794295956,1.6347547666351,1.3091298229849,0.98262207820865,0.65545072648584,0.32783625183177,0
340,861.78558981021,861.11457370356,858.32341457161,850.76372399058,833.1612583058,797.00606191877,731.02825784764,623.66957272303,467.65644574891,265.24498868598,31.292564643694,28.806504407896,26.226544514758,23.558768415853,20.810200276211,17.988742683537,15.103100921747,12.162694888899,9.1775599561826,6.1582382588102,3.1156620777572,2.8096281556519,2.5018620685094,2.192548048038,1.8818732051764,1.5700271862972,1.2572018230162,0.94359077648515,0.62938917706395,0.3147932602811,0
350,861.60244180644,860.81862307001,857.63967181458,849.296583635,830.41172697364,792.53467432849,724.76450128439,616.24697881609,460.53214064344,260.37361198404,30.352125636361,27.916148293354,25.395258869654,22.795094072742,20.122104254042,17.383498724295,14.587179694555,11.741665763011,8.8560060494412,5.9396862417052,3.0025279587974,2.7072222375903,2.4103670611283,2.1121275182736,1.8126711723726,1.5121677655335,1.2107889175088,0.90870781992467,0.60609892661239,0.30313764080876,0
360,861.38668249126,860.48231919231,856.89638988489,847.75255204073,827.59232865003,788.04836528699,718.5941492899,609.04709811666,453.71107395844,255.76536324217,29.496602684219,27.107720899725,24.64173279187,22.103877617449,19.500100438437,16.837003964086,14.121790746154,11.36219651362,8.5664155846066,5.7430194291191,2.9008695746445,2.6152254238372,2.3281892911711,2.0399097472036,1.7505374949204,1.4602251146637,1.1691268045012,0.87739811666337,0.58519569068743,0.29267698391508,0
